fnlwgt,education-num,age,capitalgain,capitalloss,hoursperweek,education,workclass,marital-status,occupation,relationship,race,sex,native-country,class
89397.0,9.0,0.0,0.0,0.0,2.0,12.0,3.0,5.0,8.0,4.0,5.0,2.0,37.0,1.0
375077.0,9.0,0.0,0.0,0.0,3.0,12.0,3.0,5.0,12.0,4.0,5.0,2.0,37.0,1.0
80249.0,10.0,1.0,0.0,0.0,4.0,16.0,4.0,3.0,5.0,1.0,5.0,2.0,37.0,1.0
247445.0,9.0,1.0,0.0,0.0,2.0,12.0,3.0,5.0,1.0,2.0,5.0,2.0,37.0,1.0
482082.0,8.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,7.0,4.0,5.0,2.0,24.0,1.0
188861.0,10.0,3.0,0.0,0.0,2.0,16.0,3.0,3.0,14.0,1.0,5.0,2.0,37.0,1.0
263982.0,10.0,2.0,0.0,0.0,2.0,16.0,6.0,1.0,10.0,5.0,5.0,1.0,37.0,1.0
361487.0,9.0,0.0,0.0,0.0,2.0,12.0,3.0,5.0,3.0,2.0,5.0,2.0,37.0,1.0
223212.0,9.0,1.0,0.0,0.0,2.0,12.0,3.0,3.0,8.0,1.0,5.0,2.0,24.0,1.0
231777.0,13.0,4.0,0.0,0.0,2.0,10.0,5.0,5.0,14.0,2.0,5.0,2.0,37.0,1.0
94936.0,12.0,1.0,0.0,0.0,2.0,8.0,3.0,5.0,12.0,2.0,5.0,2.0,37.0,1.0
284799.0,10.0,3.0,0.0,0.0,3.0,16.0,4.0,3.0,12.0,1.0,5.0,2.0,37.0,1.0
190767.0,13.0,2.0,0.0,0.0,2.0,10.0,3.0,1.0,1.0,2.0,5.0,1.0,37.0,1.0
163516.0,10.0,1.0,0.0,0.0,2.0,16.0,3.0,7.0,1.0,5.0,5.0,1.0,37.0,1.0
103432.0,9.0,1.0,0.0,0.0,2.0,12.0,3.0,5.0,3.0,2.0,5.0,2.0,37.0,1.0
460046.0,9.0,0.0,0.0,0.0,2.0,12.0,3.0,6.0,4.0,5.0,5.0,1.0,37.0,1.0
185061.0,10.0,2.0,0.0,0.0,3.0,16.0,3.0,3.0,4.0,1.0,2.0,2.0,37.0,1.0
272451.0,13.0,1.0,0.0,0.0,2.0,10.0,3.0,5.0,1.0,2.0,5.0,1.0,37.0,1.0
204205.0,6.0,2.0,0.0,0.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,2.0,37.0,1.0
188386.0,9.0,2.0,0.0,2.0,2.0,12.0,3.0,3.0,6.0,1.0,5.0,2.0,37.0,1.0
177407.0,9.0,3.0,0.0,0.0,3.0,12.0,5.0,3.0,12.0,1.0,5.0,2.0,37.0,1.0
54334.0,5.0,1.0,0.0,0.0,2.0,7.0,3.0,5.0,12.0,2.0,5.0,2.0,37.0,1.0
165474.0,13.0,0.0,0.0,0.0,2.0,10.0,4.0,5.0,12.0,4.0,5.0,2.0,37.0,1.0
454941.0,9.0,0.0,0.0,0.0,2.0,12.0,3.0,3.0,3.0,1.0,5.0,2.0,37.0,1.0
