Age,Debt,YearsEmployed,CreditScore,ZipCode,Income,EducationLevel,Gender,Married,BankCustomer,Ethnicity,PriorDefault,Employed,DriversLicense,Citizen,ApprovalStatus
154.0,1.0,31.0,2.0,69,1.0,13.0,2,2,1,8,2,2,1,1,1
322.0,94.0,65.0,7.0,12,115.0,11.0,1,2,1,4,2,2,1,1,1
89.0,17.0,37.0,1.0,95,135.0,11.0,1,2,1,4,2,1,1,1,1
124.0,47.0,73.0,6.0,32,4.0,13.0,2,2,1,8,2,2,2,1,1
43.0,110.0,42.0,1.0,38,1.0,13.0,2,2,1,8,2,1,1,3,1
166.0,87.0,58.0,1.0,114,1.0,10.0,2,2,1,8,2,1,2,1,1
177.0,34.0,98.0,1.0,55,226.0,12.0,2,2,1,4,2,1,2,1,1
74.0,168.0,2.0,1.0,24,162.0,3.0,1,2,1,8,2,1,1,1,1
304.0,17.0,74.0,1.0,63,91.0,9.0,2,3,3,4,2,1,1,1,1
250.0,101.0,68.0,1.0,16,166.0,13.0,2,3,3,8,2,1,2,1,1
64.0,28.0,51.0,1.0,40,1.0,2.0,2,2,1,4,1,1,2,1,1
143.0,54.0,79.0,1.0,90,74.0,2.0,2,2,1,4,2,1,1,1,1
216.0,115.0,26.0,1.0,1,1.0,9.0,1,2,1,8,2,1,2,1,1
276.0,116.0,2.0,1.0,1,187.0,9.0,2,2,1,8,1,1,1,1,1
264.0,158.0,84.0,8.0,1,1.0,11.0,1,2,1,8,2,2,2,1,1
208.0,93.0,7.0,11.0,104,1.0,9.0,2,3,3,8,2,2,2,1,1
128.0,30.0,25.0,4.0,125,1.0,10.0,2,2,1,8,2,2,2,1,1
78.0,114.0,69.0,11.0,38,81.0,11.0,1,2,1,8,2,2,1,1,1
61.0,10.0,18.0,1.0,1,1.0,4.0,2,2,1,4,2,1,2,1,1
34.0,135.0,20.0,8.0,30,1.0,3.0,1,2,1,4,2,2,1,1,1
94.0,165.0,58.0,18.0,68,152.0,2.0,2,2,1,8,2,2,1,1,1
78.0,33.0,23.0,1.0,99,1.0,2.0,2,2,1,8,2,1,1,3,1
274.0,131.0,105.0,7.0,1,157.0,2.0,1,2,1,8,2,2,2,1,1
120.0,191.0,66.0,2.0,38,12.0,14.0,1,2,1,4,2,2,1,1,1
240.0,119.0,14.0,4.0,48,1.0,11.0,1,2,1,8,2,2,2,1,1
4.0,20.0,37.0,3.0,32,1.0,2.0,1,2,1,4,2,2,1,1,1
268.0,183.0,88.0,10.0,1,1.0,7.0,1,2,1,1,2,2,2,1,1
312.0,201.0,125.0,18.0,1,1.0,4.0,2,2,1,1,2,2,2,1,1
316.0,134.0,100.0,4.0,1,1.0,5.0,2,2,1,4,2,2,1,1,1
248.0,34.0,84.0,7.0,147,218.0,13.0,2,2,1,8,2,2,2,1,1
137.0,193.0,85.0,6.0,57,1.0,1.0,2,2,1,8,2,2,2,1,1
247.0,147.0,106.0,9.0,1,1.0,14.0,2,2,1,4,2,2,1,1,1
285.0,129.0,104.0,16.0,1,204.0,7.0,2,2,1,1,2,2,2,1,1
209.0,105.0,84.0,1.0,1,197.0,5.0,1,2,1,8,2,1,2,1,1
70.0,160.0,11.0,6.0,1,115.0,11.0,1,2,1,8,2,2,2,1,1
124.0,46.0,47.0,12.0,135,30.0,13.0,2,2,1,8,2,2,2,1,1
118.0,48.0,44.0,13.0,155,126.0,3.0,2,2,1,4,2,2,2,1,1
75.0,171.0,14.0,3.0,99,114.0,14.0,1,2,1,4,2,2,2,1,1
123.0,20.0,7.0,3.0,90,110.0,3.0,2,3,3,8,2,2,1,1,1
305.0,141.0,124.0,12.0,9,90.0,6.0,2,2,1,3,2,2,2,1,1
186.0,138.0,80.0,13.0,1,77.0,2.0,2,2,1,8,2,2,2,1,1
135.0,194.0,90.0,12.0,1,182.0,2.0,2,2,1,4,2,2,1,1,1
141.0,44.0,20.0,2.0,85,50.0,13.0,2,2,1,4,2,2,1,1,1
230.0,189.0,110.0,7.0,20,1.0,13.0,2,2,1,8,2,2,2,1,1
310.0,213.0,131.0,22.0,1,16.0,2.0,2,3,3,8,2,2,1,1,1
303.0,122.0,61.0,12.0,1,88.0,2.0,2,2,1,4,2,2,2,1,1
239.0,56.0,4.0,21.0,140,155.0,11.0,1,3,3,4,2,2,2,1,1
164.0,94.0,96.0,4.0,102,90.0,3.0,2,2,1,4,2,2,1,1,1
243.0,47.0,72.0,1.0,75,1.0,7.0,2,2,1,1,1,1,1,1,1
84.0,22.0,5.0,1.0,32,1.0,2.0,2,2,1,8,1,1,1,1,1
103.0,17.0,24.0,1.0,146,1.0,2.0,1,2,1,4,2,1,2,1,1
106.0,33.0,43.0,1.0,95,1.0,11.0,2,2,1,8,2,1,2,1,1
212.0,56.0,2.0,1.0,127,209.0,13.0,2,2,1,8,2,1,2,1,1
193.0,66.0,1.0,1.0,84,74.0,13.0,2,2,1,8,2,1,2,1,1
187.0,73.0,102.0,1.0,1,1.0,3.0,2,2,1,4,2,1,2,1,1
79.0,169.0,23.0,1.0,53,90.0,13.0,2,3,3,8,2,1,2,1,1
77.0,1.0,3.0,1.0,1,1.0,3.0,2,2,1,8,2,1,1,1,1
260.0,17.0,84.0,1.0,104,1.0,7.0,2,2,1,4,2,1,2,1,1
195.0,95.0,94.0,1.0,159,1.0,14.0,2,2,1,4,1,1,2,3,1
256.0,73.0,95.0,12.0,24,1.0,11.0,2,2,1,4,2,2,1,1,1
313.0,175.0,31.0,5.0,68,1.0,10.0,2,2,1,8,2,2,2,1,1
161.0,197.0,64.0,10.0,86,128.0,4.0,2,2,1,8,2,2,1,1,1
80.0,27.0,37.0,3.0,24,104.0,11.0,1,3,3,8,2,2,2,1,1
46.0,29.0,39.0,2.0,1,1.0,11.0,1,2,1,8,2,2,1,1,1
112.0,92.0,78.0,2.0,38,1.0,3.0,2,2,1,8,2,2,2,1,1
186.0,47.0,38.0,2.0,151,227.0,3.0,2,2,1,8,2,2,2,1,1
200.0,33.0,47.0,12.0,1,106.0,2.0,1,2,1,8,2,2,1,1,1
100.0,13.0,7.0,4.0,90,224.0,10.0,2,2,1,8,2,2,1,1,1
36.0,119.0,36.0,8.0,24,190.0,13.0,2,2,1,4,2,2,1,1,1
195.0,210.0,40.0,2.0,149,110.0,14.0,2,2,1,4,2,2,2,1,1
169.0,127.0,39.0,1.0,131,1.0,5.0,2,2,1,1,2,1,2,3,2
219.0,102.0,121.0,1.0,163,1.0,3.0,1,2,1,8,2,1,2,1,2
259.0,17.0,115.0,1.0,127,1.0,10.0,2,2,1,8,2,1,1,3,2
261.0,123.0,40.0,1.0,53,3.0,2.0,2,3,3,8,1,1,1,1,2
48.0,107.0,10.0,2.0,53,1.0,11.0,2,2,1,8,2,2,1,1,2
185.0,119.0,4.0,1.0,137,1.0,1.0,2,2,1,8,2,1,2,1,2
34.0,20.0,16.0,1.0,53,1.0,1.0,1,3,3,8,2,1,2,1,2
59.0,38.0,58.0,2.0,63,21.0,9.0,2,3,3,8,2,2,1,1,2
57.0,146.0,7.0,1.0,45,1.0,2.0,2,2,1,8,2,1,1,1,2
286.0,202.0,1.0,2.0,29,1.0,6.0,2,2,1,3,2,2,1,1,2
122.0,46.0,47.0,1.0,115,1.0,10.0,1,2,1,8,2,1,1,3,2
231.0,17.0,7.0,1.0,96,1.0,10.0,2,2,1,8,2,1,1,3,2
118.0,21.0,12.0,1.0,68,1.0,1.0,2,2,1,8,2,1,2,1,2
210.0,87.0,84.0,1.0,95,1.0,2.0,2,2,1,1,2,1,2,3,2
102.0,60.0,75.0,1.0,66,1.0,1.0,2,3,3,8,2,1,1,1,2
184.0,95.0,26.0,1.0,85,1.0,1.0,2,2,1,8,2,1,2,1,2
283.0,46.0,1.0,1.0,32,26.0,8.0,1,2,1,5,2,1,2,1,2
328.0,181.0,84.0,1.0,36,1.0,2.0,2,3,3,4,2,1,1,1,2
159.0,195.0,14.0,1.0,38,1.0,2.0,2,2,1,8,2,1,1,1,2
297.0,43.0,113.0,1.0,68,50.0,2.0,2,3,3,4,2,1,2,1,2
134.0,46.0,37.0,1.0,1,78.0,2.0,2,3,3,8,2,1,2,1,2
132.0,83.0,14.0,1.0,59,1.0,7.0,1,2,1,1,2,1,2,1,2
75.0,21.0,4.0,1.0,63,2.0,1.0,2,3,3,8,2,1,1,1,2
69.0,162.0,64.0,1.0,91,1.0,11.0,1,3,3,8,2,1,2,1,2
131.0,33.0,26.0,3.0,56,110.0,11.0,1,2,1,8,2,2,2,1,2
213.0,52.0,7.0,1.0,55,104.0,2.0,2,3,3,1,2,1,2,1,2
196.0,198.0,75.0,1.0,24,1.0,2.0,2,3,3,8,2,1,1,1,2
30.0,102.0,10.0,3.0,1,31.0,11.0,2,2,1,8,2,2,1,1,2
94.0,173.0,52.0,3.0,38,6.0,9.0,2,2,1,8,2,2,2,1,2
124.0,87.0,94.0,3.0,22,1.0,7.0,2,3,3,4,2,2,2,1,2
306.0,195.0,1.0,20.0,50,58.0,5.0,2,2,1,9,2,2,1,1,2
134.0,38.0,14.0,1.0,95,1.0,9.0,2,2,1,8,2,1,1,3,2
94.0,162.0,80.0,1.0,38,1.0,1.0,1,3,3,8,2,1,1,1,2
