DurationMonth,CreditAmount,Age,Residence,NumberPeopleLiable,ExistingCredits,InstallmentRate,SavingsAccount,PresentEmployment,StatusCheckingAccount,CreditHistory,Purpose,PersonalStatus,OtherDebtors,Property,OtherInstallment,Housing,Job,Telephone,ForeignWorker,Class
6,1169,67,4,1,2,4,1.0,5,1,5,5,3,1,1,3,2,3,2,1,1
48,5951,22,2,1,1,2,1.0,3,2,3,5,2,1,1,3,2,3,1,1,2
12,2096,49,3,2,1,2,1.0,4,4,5,8,3,1,1,3,2,2,1,1,1
42,7882,45,4,2,1,2,1.0,4,1,3,4,3,3,2,3,3,3,1,1,1
24,4870,53,4,2,2,3,1.0,3,1,4,1,3,1,4,3,3,3,1,1,2
36,9055,35,4,2,1,2,1.0,3,4,3,8,3,1,4,3,3,2,2,1,1
24,2835,53,4,1,1,3,3.0,5,4,3,4,3,1,2,3,2,3,1,1,1
36,6948,35,2,1,1,2,1.0,3,2,3,2,3,1,3,3,1,4,2,1,1
12,3059,61,4,1,1,2,4.0,4,4,3,5,1,1,1,3,2,2,1,1,1
30,5234,28,2,1,2,4,1.0,1,2,5,1,4,1,3,3,2,4,1,1,2
12,1295,25,1,1,1,3,1.0,2,2,3,1,2,1,3,3,1,3,1,1,2
48,4308,24,4,1,1,3,1.0,2,1,3,10,2,1,2,3,1,3,1,1,2
12,1567,22,1,1,1,1,1.0,3,2,3,5,2,1,3,3,2,3,2,1,1
24,1199,60,4,1,2,4,1.0,5,1,5,1,3,1,3,3,2,2,1,1,2
15,1403,28,4,1,1,2,1.0,3,1,3,1,2,1,3,3,1,3,1,1,1
24,1282,32,2,1,1,4,2.0,3,1,3,5,2,1,3,3,2,2,1,1,2
24,2424,53,4,1,2,4,1.0,5,4,5,5,3,1,2,3,2,3,1,1,1
30,8072,25,3,1,3,2,1.0,2,1,1,10,3,1,3,1,2,3,1,1,1
24,12579,44,2,1,1,4,1.0,5,2,3,2,2,1,4,3,3,4,2,1,2
24,3430,31,2,2,1,3,3.0,5,4,3,5,3,1,3,3,2,3,2,1,1
9,2134,48,4,1,3,4,1.0,3,4,5,1,3,1,3,3,2,3,2,1,1
6,2647,44,3,2,1,2,3.0,3,1,3,5,3,1,1,3,1,3,1,1,1
10,2241,48,3,2,2,1,1.0,2,1,5,1,3,1,1,3,1,2,1,2,1
12,1804,44,4,1,1,3,2.0,2,2,5,2,3,1,2,3,2,3,1,1,1
10,2069,26,1,1,2,2,1.0,3,4,5,4,4,1,3,3,2,3,1,2,1
6,1374,36,2,1,1,1,1.0,3,1,3,4,3,1,1,1,2,2,2,1,1
6,426,39,4,1,1,4,1.0,5,4,1,5,4,1,3,3,2,2,1,1,1
12,409,42,3,1,2,3,4.0,3,3,2,5,2,1,1,3,1,3,1,1,1
7,2415,34,2,1,1,3,1.0,3,2,3,5,3,3,1,3,2,3,1,1,1
